comparison_attribute	comparison_left	comparison_sign	comparison_right	comparison_p	A	B	C	D
B	B1	>	NOT B1	8.346447627879985E-4	_	_	_	_
B	B1	>	NOT B1	4.825091740601083E-4	_	_	_	D5
B	B2	>	NOT B2	1.6594358947977765E-4	_	_	_	_
B	B2	>	NOT B2	1.0104194904317353E-6	_	_	_	D5
B	B2	>	NOT B2	0.0017960874918622391	A2	_	_	_
B	B3	<	NOT B3	1.562775836408558E-4	A2	_	_	_
B	B3	<	NOT B3	0.0022163208438291814	_	_	C1	_
B	B3	>	NOT B3	0.009018256249250702	A1	_	_	D2
B	B4	<	NOT B4	6.996156023243348E-4	A1	_	_	D5
B	B4	<	NOT B4	0.00808700263260572	A1	_	_	_
B	B4	<	NOT B4	1.1960717706891589E-10	_	_	_	_
B	B4	<	NOT B4	4.0854831483922224E-13	_	_	_	D5
B	B4	<	NOT B4	0.0018894303087710327	A2	_	_	_
B	B5	<	NOT B5	1.6102389014794357E-7	_	_	_	_
B	B5	<	NOT B5	3.731134068628345E-8	_	_	_	D5
B	B5	<	NOT B5	8.099419234649181E-4	A1	_	_	D5
B	B5	<	NOT B5	D5.087401927071481E-4	A2	_	_	_
B	B6	<	NOT B6	8.739832312270882E-4	_	_	_	_
B	B6	<	NOT B6	0.001439683634783546	_	_	_	D5
B	B7	<	NOT B7	3.9734277188742455E-4	_	_	_	_
A	A1	>	NOT A1	5.369257239134365E-17	_	_	_	D2
A	A1	>	NOT A1	1.679760202475393E-10	_	B8	_	_
A	A1	>	NOT A1	D5.5613340321475216E-35	_	B2	_	_
A	A1	>	NOT A1	1.901114424103154E-11	_	_	C1	_
A	A1	>	NOT A1	4.9176269961745555E-54	_	B3	_	D5
A	A1	>	NOT A1	3.993942845891089E-12	_	B4	_	D5
A	A1	>	NOT A1	6.464941001597444E-69	_	B3	_	_
A	A1	>	NOT A1	0.009421958977473116	_	_	_	D1
A	A1	>	NOT A1	1.967980548598671E-15	_	_	_	D3
A	A1	>	NOT A1	1.7773778792181467E-10	_	B5	_	_
A	A1	>	NOT A1	1.0559687922252124E-13	_	_	_	D4
A	A1	>	NOT A1	5.445180063340479E-166	_	_	_	_
A	A1	>	NOT A1	D5.28517698573625E-19	_	B4	_	_
A	A1	>	NOT A1	4.882400547167922E-133	_	_	_	D5
A	A2	<	NOT A2	1.9637292747014546E-13	_	_	_	D4
A	A2	<	NOT A2	D5.5613340321475216E-35	_	B2	_	_
A	A2	<	NOT A2	1.901114424103154E-11	_	_	C1	_
A	A2	<	NOT A2	4.5269448399274205E-68	_	B3	_	_
A	A2	<	NOT A2	1.1409210863383406E-17	_	_	_	D2
A	A2	<	NOT A2	D5.796616677931625E-10	_	B8	_	_
A	A2	<	NOT A2	3.066277462061799E-20	_	B4	_	_
A	A2	<	NOT A2	1.7773778792181467E-10	_	B5	_	_
A	A2	<	NOT A2	D5.6021425099233734E-53	_	B3	_	D5
A	A2	<	NOT A2	0.007379609227946615	_	_	_	D5
A	A2	<	NOT A2	4.586595708578282E-170	_	_	_	_
A	A2	<	NOT A2	3.295332696441927E-135	_	_	_	D5
A	A2	<	NOT A2	6.330258480503843E-13	_	B4	_	D5
A	A2	<	NOT A2	3.2620646858990395E-15	_	_	_	D3
D	D1	>	NOT D1	0.00524027666867577	_	_	_	_
D	D5	<	NOT D5	0.008002950129980094	A1	B4	_	_
D	D5	<	NOT D5	1.7959982277258887E-4	_	_	_	_
D	D5	<	NOT D5	0.0033253475720707894	A1	_	_	_
D	D5	<	NOT D5	6.995211851335629E-4	A1	B3	_	_
D	D5	<	NOT D5	1.9802829160343882E-4	_	B3	_	_
D	D5	<	NOT D5	1.1820872266953696E-5	_	B4	_	_
D	D2	>	NOT D2	0.0023343804713018596	A1	B3	_	_
D	D2	>	NOT D2	1.0180162370119274E-4	_	B5	_	_
C	C1	<	NOT C1	4.0324505824373746E-4	_	B3	_	D5
C	C1	<	NOT C1	D5.409065059790305E-5	_	B3	_	_
C	C1	<	NOT C1	9.605598358058443E-4	_	_	_	_
C	C1	<	NOT C1	1.2873498170662583E-4	_	B2	_	_
C	C2	<	NOT C2	D5.9825439354477742E-15	_	_	_	_
C	C3	<	NOT C3	0.006311346726132879	_	_	_	D5
C	C3	<	NOT C3	4.427889400935519E-4	_	_	_	_
C	C3	<	NOT C3	D5.0571750786022662E-4	A1	_	_	D5
C	C3	<	NOT C3	6.0393788246201014E-5	A1	_	_	_
